bot;aposta_id;event_id;mercado_tick;mercado_tipo;linha;selecao;odd;liga;apostado_em;veredito;motivos
SENTINELA-E-WCA-HC;71322;17147361;Handicap;16;-0.50;Belgium (Hyper) (-0.5);1.880;World Cup A;2026-07-21 07:50:40.785242;OK;
SENTINELA-E-WCA-HC;71323;17147342;Handicap;16;1.50;Portugal (Ganger_29) (+1.5);2.150;World Cup A;2026-07-21 07:50:40.786436;OK;
SENTINELA-E-WCA-HC;71328;17147214;Handicap;16;1.50;Czechia (mko1919) (+1.5);1.720;World Cup A;2026-07-21 07:52:22.161127;OK;
SENTINELA-E-WCA-HC;71329;17147258;Handicap;16;-0.50;Qatar (KraftVK) (-0.5);1.880;World Cup A;2026-07-21 07:52:22.189110;OK;
SENTINELA-E-WCA-HC;71334;17147253;Handicap;16;0.50;Germany (dor1an) (+0.5);2.250;World Cup A;2026-07-21 08:04:23.355461;OK;
SENTINELA-E-WCA-HC;71335;17147234;Handicap;16;0.50;Scotland (v1nn) (+0.5);1.620;World Cup A;2026-07-21 08:04:23.399025;OK;
SENTINELA-E-WCA-HC;71340;17148903;Handicap;16;-1.50;Argentina (metelk1n) (-1.5);2.970;FC26 World Cup A;2026-07-21 08:04:27.901284;OK;
SENTINELA-E-WCA-HC;71352;17148904;Handicap;16;1.50;France (Am1g0) (+1.5);1.240;FC26 World Cup A;2026-07-21 08:23:14.938641;OK;
SENTINELA-E-WCA-HC;71355;17148906;Handicap;16;1.50;Brazil (Makaveli) (+1.5);1.260;FC26 World Cup A;2026-07-21 08:35:02.277639;OK;
SENTINELA-E-WCA-HC;71356;17148906;Handicap;16;-1.50;France (Am1g0) (-1.5);3.250;FC26 World Cup A;2026-07-21 08:35:02.277910;OK;
SENTINELA-E-WCA-HC;71357;17148907;Handicap;16;-1.50;Argentina (metelk1n) (-1.5);3.020;FC26 World Cup A;2026-07-21 08:35:02.323604;OK;
SENTINELA-E-WCA-HC;71361;17147160;Handicap;16;-0.50;Croatia (sane4ek8) (-0.5);2.200;World Cup A;2026-07-21 08:42:06.398848;OK;
SENTINELA-E-WCA-HC;71363;17147208;Handicap;16;0.50;USA (Revange) (+0.5);1.440;World Cup A;2026-07-21 08:42:06.441656;OK;
SENTINELA-E-WCA-HC;71374;17147154;Handicap;16;0.50;USA (Revange) (+0.5);1.880;World Cup A;2026-07-21 08:53:57.965475;OK;
SENTINELA-E-WCA-HC;71375;17147154;Handicap;16;-0.50;Scotland (DaVa) (-0.5);1.820;World Cup A;2026-07-21 08:53:57.966607;OK;
SENTINELA-E-WCA-HC;71378;17147161;Handicap;16;0.50;Saudi Arabia (BlackStar98) (+0.5);1.400;World Cup A;2026-07-21 08:54:19.018882;OK;
SENTINELA-E-WCA-HC;71379;17147161;Handicap;16;-0.50;Germany (dm1trena) (-0.5);2.750;World Cup A;2026-07-21 08:54:19.019840;OK;
SENTINELA-E-WCA-HC;71381;17147242;Handicap;16;-0.50;Saudi Arabia (BlackStar98) (-0.5);2.050;World Cup A;2026-07-21 09:05:23.944996;OK;
SENTINELA-E-WCA-HC;71385;17147179;Handicap;16;0.50;Germany (dm1trena) (+0.5);2.080;World Cup A;2026-07-21 09:05:48.843496;OK;
SENTINELA-E-WCA-HC;71391;17147162;Handicap;16;1.50;Croatia (sane4ek8) (+1.5);2.300;World Cup A;2026-07-21 09:17:59.483492;OK;
SENTINELA-E-WCA-HC;71390;17147162;Handicap;16;-1.50;Scotland (DaVa) (-1.5);1.550;World Cup A;2026-07-21 09:17:59.487271;OK;
SENTINELA-E-WCA-HC;71407;17147148;Handicap;16;-0.50;Scotland (DaVa) (-0.5);2.750;World Cup A;2026-07-21 09:29:31.747374;OK;
SENTINELA-E-WCA-HC;71408;17147148;Handicap;16;0.50;Saudi Arabia (BlackStar98) (+0.5);1.400;World Cup A;2026-07-21 09:29:31.748755;OK;
SENTINELA-E-WCA-HC;71412;17147172;Handicap;16;0.50;USA (Revange) (+0.5);1.800;World Cup A;2026-07-21 09:30:25.973118;OK;
SENTINELA-E-WCA-HC;71417;17147183;Handicap;16;0.50;Germany (dm1trena) (+0.5);1.850;World Cup A;2026-07-21 09:41:26.872802;OK;
SENTINELA-E-WCA-HC;71418;17147165;Handicap;16;-0.50;Saudi Arabia (BlackStar98) (-0.5);2.650;World Cup A;2026-07-21 09:41:27.117478;OK;
SENTINELA-E-WCA-HC;71423;17147170;Handicap;16;-0.50;Saudi Arabia (BlackStar98) (-0.5);2.000;World Cup A;2026-07-21 09:53:41.818623;OK;
