Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Todas,Qtd Todas,Últ. 10,Qtd Últ. 10,Últ. 20,Qtd Últ. 20,Últ. 30,Qtd Últ. 30,Últ. 50,Qtd Últ. 50,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:25:52,Handicap,Memphis Grizzlies (PIRATE) +10.5,10.5,1.0,27,1.0,10,1.0,20,1.0,27,1.0,27,1.75,33-42,82-71,Green,0.75,90530291
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:27:20,Handicap,Memphis Grizzlies (PIRATE) +4.5,4.5,0.7407407407407407,27,0.7,10,0.7,20,0.7407407407407407,27,0.7407407407407407,27,1.85,40-44,82-71,Green,0.85,90530291
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:28:39,Handicap,Memphis Grizzlies (PIRATE) +2.5,2.5,0.6296296296296297,27,0.7,10,0.55,20,0.6296296296296297,27,0.6296296296296297,27,1.82,47-48,82-71,Green,0.82,90530291
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:29:11,Handicap,Phoenix Suns (DOMAIN) +2.5,2.5,0.7037037037037037,27,0.8,10,0.8,20,0.7037037037037037,27,0.7037037037037037,27,1.47,50-48,82-71,Red,-1.0,90530291
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:30:47,Handicap,Phoenix Suns (DOMAIN) +3.5,3.5,0.7037037037037037,27,0.8,10,0.8,20,0.7037037037037037,27,0.7037037037037037,27,1.85,58-53,82-71,Red,-1.0,90530291
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:30:58,Handicap,Phoenix Suns (DOMAIN) +4.5,4.5,0.7037037037037037,27,0.8,10,0.8,20,0.7037037037037037,27,0.7037037037037037,27,1.72,58-53,82-71,Red,-1.0,90530291
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:31:43,Handicap,Phoenix Suns (DOMAIN) +6.5,6.5,0.8518518518518519,27,1.0,10,0.95,20,0.8518518518518519,27,0.8518518518518519,27,1.75,61-53,82-71,Red,-1.0,90530291
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:31:55,Handicap,Phoenix Suns (DOMAIN) +7.5,7.5,0.9259259259259259,27,1.0,10,0.95,20,0.9259259259259259,27,0.9259259259259259,27,1.75,61-53,82-71,Red,-1.0,90530291
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:32:17,Handicap,Phoenix Suns (DOMAIN) +8.5,8.5,0.9259259259259259,27,1.0,10,0.95,20,0.9259259259259259,27,0.9259259259259259,27,1.78,63-53,82-71,Red,-1.0,90530291
,NBA H2H GG League 4x5 minutes,PIRATE x DOMAIN,PIRATE,Memphis Grizzlies,DOMAIN,Phoenix Suns,11/08/2026,03:32:27,Handicap,Phoenix Suns (DOMAIN) +9.5,9.5,0.9259259259259259,27,1.0,10,0.95,20,0.9259259259259259,27,0.9259259259259259,27,1.78,63-53,82-71,Red,-1.0,90530291
