Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Todas,Qtd Todas,Últ. 10,Qtd Últ. 10,Últ. 20,Qtd Últ. 20,Últ. 30,Qtd Últ. 30,Últ. 50,Qtd Últ. 50,Últ. 100,Qtd Últ. 100,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
, CLA-UA Italy Cyber Cup (UA),palkan x Voron,palkan,Fiorentina,Voron,Inter,26/08/2026,06:40:49,Total de Gols,Under,10.5,0.8605769230769231,208,0.8,10,0.85,20,0.8333333333333334,30,0.86,50,0.82,100,1.74,2-0,7-3,Green,0.74,17502961
, CLA-UA Italy Cyber Cup (UA),palkan x Voron,palkan,Fiorentina,Voron,Inter,26/08/2026,06:41:05,Total de Gols,Under,11.5,0.9471153846153846,208,1.0,10,0.95,20,0.9,30,0.9,50,0.91,100,1.65,2-1,7-3,Green,0.65,17502961
, CLA-UA Spain Cyber Cup (UA),kozak x aloha,kozak,Getafe,aloha,Celta Vigo,26/08/2026,06:51:10,Total de Gols,Under,9.5,0.6069651741293532,402,0.7,10,0.7,20,0.6,30,0.52,50,0.55,100,1.97,0-0,3-4,Green,0.97,17502974
, CLA-UA Spain Cyber Cup (UA),kozak x aloha,kozak,Getafe,aloha,Celta Vigo,26/08/2026,06:53:09,Total de Gols,Under,8.5,0.43034825870646765,402,0.6,10,0.55,20,0.43333333333333335,30,0.34,50,0.33,100,2.07,0-0,3-4,Green,1.07,17502974
, CLA-UA Spain Cyber Cup (UA),kozak x aloha,kozak,Getafe,aloha,Celta Vigo,26/08/2026,06:53:29,Total de Gols,Under,10.5,0.7611940298507462,402,0.9,10,0.85,20,0.7,30,0.68,50,0.71,100,1.92,0-1,3-4,Green,0.92,17502974
, CLA-UA Spain Cyber Cup (UA),kozak x aloha,kozak,Getafe,aloha,Celta Vigo,26/08/2026,07:01:57,Total de Gols,Under,7.5,0.2810945273631841,402,0.2,10,0.2,20,0.16666666666666666,30,0.18,50,0.19,100,2.47,3-4,3-4,Green,1.47,17502974
, CLA-UA Italy Cyber Cup (UA),palkan x Donatello,palkan,Fiorentina,Donatello,Lazio,26/08/2026,06:55:05,Total de Gols,Under,7.5,0.34624697336561744,413,0.4,10,0.4,20,0.3333333333333333,30,0.34,50,0.38,100,1.96,0-1,3-4,Green,0.96,17502965
, CLA-UA Italy Cyber Cup (UA),palkan x Donatello,palkan,Fiorentina,Donatello,Lazio,26/08/2026,06:55:24,Total de Gols,Under,8.5,0.4915254237288136,413,0.6,10,0.55,20,0.4666666666666667,30,0.46,50,0.51,100,1.85,0-1,3-4,Green,0.85,17502965
, CLA-UA Italy Cyber Cup (UA),palkan x Donatello,palkan,Fiorentina,Donatello,Lazio,26/08/2026,06:58:12,Total de Gols,Under,9.5,0.6779661016949152,413,0.7,10,0.65,20,0.5666666666666667,30,0.6,50,0.66,100,2.01,1-3,3-4,Green,1.01,17502965
, CLA-UA Italy Cyber Cup (UA),palkan x Donatello,palkan,Fiorentina,Donatello,Lazio,26/08/2026,06:59:10,Total de Gols,Under,10.5,0.7917675544794189,413,0.8,10,0.75,20,0.6333333333333333,30,0.72,50,0.77,100,1.68,2-3,3-4,Green,0.68,17502965
