Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Janela 1,Winrate 1,Janela 2,Winrate 2,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
, CLA-UA France Cyber Cup (UA),fillanchik x Voron,fillanchik,Marseille,Voron,Lyon,26/08/2026,07:40:00,Total de Gols,Under,8.5,,,,,1.7,3-3,3-4,Green,0.7,17502979
, CLA-UA Champions Cyber League (UA),shatik666 x vrud1,shatik666,Fenerbahce,vrud1,Porto,26/08/2026,07:40:48,Total de Gols,Under,9.5,,,,,2.22,5-4,5-4,Green,1.22,17503110
,CLA-UA Argentina Cyber Cup (UA),kozak x sensiz,kozak,River Plate,sensiz,Racing Club,26/08/2026,07:35:20,Total de Gols,Under,7.5,,,,,1.79,1-2,4-8,Red,-1.0,17502997
,CLA-UA Argentina Cyber Cup (UA),kozak x sensiz,kozak,River Plate,sensiz,Racing Club,26/08/2026,07:35:30,Total de Gols,Under,8.5,,,,,1.7,1-2,4-8,Red,-1.0,17502997
,CLA-UA Argentina Cyber Cup (UA),kozak x sensiz,kozak,River Plate,sensiz,Racing Club,26/08/2026,07:36:47,Total de Gols,Under,9.5,,,,,1.63,1-4,4-8,Red,-1.0,17502997
,CLA-UA Argentina Cyber Cup (UA),kozak x sensiz,kozak,River Plate,sensiz,Racing Club,26/08/2026,07:37:38,Total de Gols,Under,10.5,,,,,1.97,1-6,4-8,Red,-1.0,17502997
,CLA-UA Argentina Cyber Cup (UA),kozak x sensiz,kozak,River Plate,sensiz,Racing Club,26/08/2026,07:40:01,Total de Gols,Under,11.5,,,,,1.43,3-6,4-8,Red,-1.0,17502997
,CLA-UA Argentina Cyber Cup (UA),k0tik x Shark,k0tik,Boca Juniors,Shark,Estudiantes L.P.,26/08/2026,07:40:50,Total de Gols,Under,3.5,,,,,1.69,1-2,2-3,Red,-1.0,17502998
, CLA-UA France Cyber Cup (UA),palkan x Terry14,palkan,Monaco,Terry14,Strasbourg,26/08/2026,07:34:37,Total de Gols,Under,8.5,,,,,2.01,1-1,5-3,Green,1.01,17502980
, CLA-UA France Cyber Cup (UA),palkan x Terry14,palkan,Monaco,Terry14,Strasbourg,26/08/2026,07:35:49,Total de Gols,Under,7.5,,,,,2.07,1-1,5-3,Red,-1.0,17502980
, CLA-UA France Cyber Cup (UA),palkan x Terry14,palkan,Monaco,Terry14,Strasbourg,26/08/2026,07:36:20,Total de Gols,Under,9.5,,,,,1.73,2-1,5-3,Green,0.73,17502980
, CLA-UA Champions Cyber League (UA),bod1a x zyX,bod1a,Benfica,zyX,PSV,26/08/2026,07:46:18,Total de Gols,Under,7.5,,,,,1.65,1-1,2-5,Green,0.65,17503111
, CLA-UA Champions Cyber League (UA),bod1a x zyX,bod1a,Benfica,zyX,PSV,26/08/2026,07:47:44,Total de Gols,Under,8.5,,,,,1.79,1-2,2-5,Green,0.79,17503111
, CLA-UA France Cyber Cup (UA),fillanchik x palkan,fillanchik,Marseille,palkan,Monaco,26/08/2026,07:54:45,Total de Gols,Under,6.5,,,,,2.47,4-2,4-3,Red,-1.0,17502986
, CLA-UA France Cyber Cup (UA),fillanchik x palkan,fillanchik,Marseille,palkan,Monaco,26/08/2026,07:54:48,Total de Gols,Under,7.5,,,,,2.27,4-2,4-3,Green,1.27,17502986
,CLA-UA Argentina Cyber Cup (UA),aloha x Shark,aloha,Independiente,Shark,Estudiantes L.P.,26/08/2026,07:44:16,Total de Gols,Under,6.5,,,,,1.98,0-0,4-4,Red,-1.0,17503000
,CLA-UA Argentina Cyber Cup (UA),aloha x Shark,aloha,Independiente,Shark,Estudiantes L.P.,26/08/2026,07:45:15,Total de Gols,Under,7.5,,,,,1.68,0-0,4-4,Red,-1.0,17503000
